Date,Open,High,Low,Close,Adj Close,Volume
"Dec 30, 2025",5.67,5.78,5.57,5.75,5.66,"6,839,800"
"Dec 29, 2025",5.7,5.7,5.6,5.66,5.57,"8,833,100"
"Dec 26, 2025",5.63,5.69,5.55,5.69,5.6,"7,433,200"
"Dec 24, 2025",5.55,5.66,5.53,5.62,5.53,"4,173,100"
"Dec 23, 2025",5.46,5.56,5.46,5.55,5.46,"6,001,900"
"Dec 22, 2025",5.63,5.63,5.45,5.53,5.44,"4,530,800"
"Dec 19, 2025",5.5,5.66,5.5,5.6,5.51,"15,167,400"
"Dec 18, 2025",5.38,5.53,5.38,5.5,5.41,"4,043,700"
"Dec 17, 2025",5.45,5.47,5.38,5.45,5.36,"2,709,400"
"Dec 16, 2025",5.32,5.42,5.32,5.42,5.33,"5,281,100"
"Dec 15, 2025",5.32,5.39,5.29,5.35,5.26,"8,747,600"
"Dec 12, 2025",5.42,5.44,5.3,5.39,5.3,"4,338,900"
"Dec 11, 2025",5.26,5.43,5.26,5.4,5.31,"5,136,600"
"Dec 10, 2025",5.3,5.3,5.25,5.26,5.17,"4,734,300"
"Dec 9, 2025",5.26,5.3,5.24,5.3,5.21,"7,499,900"
"Dec 8, 2025",5.22,5.27,5.19,5.24,5.15,"9,601,100"
"Dec 5, 2025",5.29,5.31,5.25,5.28,5.19,"5,180,300"
"Dec 4, 2025",5.3,5.32,5.25,5.3,5.21,"7,611,000"
"Dec 3, 2025",5.32,5.32,5.22,5.3,5.21,"4,808,800"
"Dec 2, 2025",5.25,5.32,5.24,5.32,5.23,"8,823,500"
"Dec 1, 2025",5.21,5.28,5.19,5.24,5.15,"4,243,500"
"Nov 28, 2025",5.2,5.26,5.18,5.21,5.12,"7,059,200"
"Nov 27, 2025",5.29,5.32,5.23,5.25,5.16,"6,282,800"
"Nov 26, 2025",5.38,5.38,5.24,5.3,5.21,"12,915,300"
"Nov 25, 2025",5.36,5.37,5.3,5.32,5.23,"8,286,200"
"Nov 24, 2025",5.4,5.4,5.28,5.31,5.22,"18,735,100"
"Nov 21, 2025",5.39,5.4,5.34,5.4,5.31,"8,284,500"
"Nov 20, 2025",5.41,5.46,5.33,5.36,5.27,"7,528,400"
"Nov 19, 2025",5.35,5.42,5.33,5.4,5.31,"10,705,900"
"Nov 18, 2025",5.35,5.39,5.32,5.35,5.26,"8,736,600"
"Nov 17, 2025",5.38,5.4,5.32,5.35,5.26,"10,576,200"
"Nov 14, 2025",5.39,5.44,5.34,5.38,5.29,"17,252,300"
"Nov 13, 2025",5.49,5.49,5.39,5.4,5.31,"8,815,800"
"Nov 12, 2025",5.46,5.5,5.42,5.43,5.34,"7,725,800"
"Nov 11, 2025",5.44,5.52,5.44,5.47,5.38,"7,841,400"
"Nov 10, 2025",5.4,5.6,5.4,5.44,5.35,"9,059,000"
"Nov 7, 2025",5.37,5.4,5.33,5.4,5.31,"18,176,500"
"Nov 6, 2025",5.3,5.38,5.3,5.35,5.26,"17,691,600"
"Nov 5, 2025",5.32,5.32,5.27,5.28,5.19,"9,588,900"
"Nov 4, 2025",5.34,5.37,5.29,5.3,5.21,"6,457,600"
"Nov 3, 2025",5.28,5.4,5.27,5.35,5.26,"8,127,400"
"Oct 31, 2025",5.26,5.32,5.26,5.28,5.19,"9,187,400"
"Oct 30, 2025",5.3,5.33,5.25,5.32,5.23,"14,826,500"
"Oct 29, 2025",5.33,5.34,5.27,5.29,5.2,"7,970,400"
"Oct 28, 2025",5.4,5.44,5.33,5.35,5.26,"21,662,700"
"Oct 27, 2025",5.31,5.4,5.25,5.4,5.31,"28,264,400"
"Oct 24, 2025",5.22,5.31,5.22,5.25,5.16,"9,947,600"
"Oct 23, 2025",5.27,5.3,5.24,5.29,5.2,"10,571,500"
"Oct 22, 2025",5.31,5.31,5.27,5.27,5.18,"8,432,200"
"Oct 21, 2025",5.24,5.33,5.22,5.3,5.21,"8,341,500"
"Oct 17, 2025",5.21,5.28,5.21,5.25,5.16,"6,198,200"
"Oct 16, 2025",0.0775,,,,,
"Oct 16, 2025",5.24,5.3,5.21,5.25,5.16,"4,051,600"
"Oct 15, 2025",5.22,5.31,5.22,5.28,5.12,"7,558,600"
"Oct 14, 2025",5.3,5.31,5.22,5.22,5.06,"3,785,200"
"Oct 13, 2025",5.32,5.32,5.27,5.3,5.14,"3,845,100"
"Oct 10, 2025",5.3,5.37,5.28,5.34,5.17,"13,380,400"
"Oct 9, 2025",5.29,5.3,5.24,5.28,5.12,"7,489,900"
"Oct 8, 2025",5.26,5.28,5.21,5.26,5.1,"6,544,900"
"Oct 7, 2025",5.24,5.25,5.19,5.22,5.06,"9,385,200"
"Oct 6, 2025",5.26,5.27,5.23,5.25,5.09,"2,396,000"
"Oct 3, 2025",5.26,5.26,5.2,5.25,5.09,"2,387,900"
"Oct 2, 2025",5.25,5.3,5.23,5.25,5.09,"7,049,900"
"Oct 1, 2025",5.22,5.27,5.19,5.22,5.06,"6,057,700"
"Sep 30, 2025",5.26,5.31,5.22,5.22,5.06,"8,089,700"
"Sep 29, 2025",5.24,5.32,5.24,5.24,5.08,"4,794,600"
"Sep 26, 2025",5.25,5.25,5.22,5.24,5.08,"6,942,200"
"Sep 25, 2025",5.25,5.25,5.23,5.25,5.09,"6,808,700"
"Sep 24, 2025",5.29,5.29,5.22,5.23,5.07,"4,828,800"
"Sep 23, 2025",5.23,5.29,5.23,5.27,5.11,"5,317,400"
"Sep 22, 2025",5.25,5.3,5.25,5.3,5.14,"3,126,600"
"Sep 19, 2025",5.25,5.26,5.18,5.25,5.09,"7,493,400"
"Sep 18, 2025",5.23,5.27,5.23,5.25,5.09,"6,790,900"
"Sep 17, 2025",5.19,5.25,5.15,5.23,5.07,"6,286,300"
